COLLECT_TARGET_ID,CONTACT_ACCOUNT_TYPE,ACCOUNT_ID,ACCOUNT,FRIEND_ID,FRIEND_ACCOUNT,FRIEND_NICKNAME,WEIBO_MESSAGE_TYPE,MAIL_SEND_TIME,WEIBO_TOPIC,WEIBO_MESSAGE,WEIBO_REPLY_COUNTER,WEIBO_RETWEET_COUNTER,WEIBO_LIKE_COUNTER,MBLOG_ID,RELEVANT_MBLOG_ID,IDROOT_MBLOG_ID,DELETE_STATUS,DELETE_TIME
350000282600100100201407241441387054203478603080281087990,1330005,,MeiyaFuyy,,381149439,Somos FiOS,,,,¿Estás buscando un tablet nuevo? Con nuestra oferta lo puedes recibir gratis: http://t.co/IirOzXXyJT,,3,,478554576875188225,,,0,
350000282600100100201407241441387054203478603080281087990,1330005,,MeiyaFuyy,,1623528433,良心之友,,,,15/6/2014  父親節，呼籲釋放所有良心犯，祝願獄中男兒漢早日獲釋與家人團聚。良心之友關注在囚政治犯及維權公民被捕的最新動態 - http://t.co/8EQJPvdl4H http://t.co/3hfVD7XM6M,,14,,478097998971281408,,,0,
350000282600100100201407241441387054203478603080281087990,1330005,,MeiyaFuyy,,97516929,Verizon Enterprise,,,,RT @Terremark: Three important facts to know about #Cloud and open source models #Verizon #Cyberthreat http://t.co/65V6enfHmi,,3,,478542557899935744,,,0,
350000282600100100201407241441387054203478603080281087990,1330005,,MeiyaFuyy,,62601419,VZW Support,,,,Happy Father&apos;s Day to all of our great "DAD" Twitter family and friends!  Have an awesome day!!!,,9,,478145000761352192,,,0,
350000282600100100201407241441387054203478603080281087990,1330005,,MeiyaFuyy,,74161330,Verizon Wireless,,,,$25k #HopeLine grant will fund @YWCA_MV community programs in upstate New York http://t.co/umpNUjjgA7 via @VZWjohno http://t.co/mbiqrPNIXE,,8,,479284920620445698,,,0,
350000282600100100201407241441387054203478603080281087990,1330005,,MeiyaFuyy,,50393960,Bill Gates,,,,Got to meet with Alibaba’s Jack Ma in Beijing to talk philanthropy – great conversation. http://t.co/VCF8vdJ7Co,,850,,479077156203413504,,,0,
350000282600100100201407241441387054203478603080281087990,1330005,,MeiyaFuyy,,59602642,Verizon,,,,Meet Howard, founder of @SolarEar. These are his #PowerfulAnswers. What are yours? http://t.co/hsTOySXVhM http://t.co/Kx6keeCQ1d,,2,,479429607289270272,,,0,
350000282600100100201407241441387054203478603080281087990,1330005,,MeiyaFuyy,,59602642,Verizon,,,,#SHOWVERWHELMED? Detwieler and Derholyfield, DVR Attorneys-At-Law are here for you: https://t.co/z1UYjNUqkY,,2,,479263769584238592,,,0,
350000282600100100201407241441387054203478603080281087990,1330005,,MeiyaFuyy,,59602642,Verizon,,,,#WorldCup on-the-go with the #FiOSMobile App, @espn, and @UnivisionSports: http://t.co/ENSTbrCULg http://t.co/DkkDlkkAhj,,3,,479287732057829376,,,0,
350000282600100100201407241441387054203478603080281087990,1330005,,MeiyaFuyy,,59602642,Verizon,,,,Connecting with loved ones matters most to many at the #NewEngland Homes for the Deaf: http://t.co/PkWO4kngGO #PowerfulStories,,0,,479213117096738816,,,0,
350000282600100100201407241441387054203478603080281087990,1330005,,MeiyaFuyy,,10228272,YouTube,,,,Supervolcanoes are super terrifying. http://t.co/XF5Jta3mk0,,115,,479037036616515584,,,0,
350000282600100100201407241441387054203478603080281087990,1330005,,MeiyaFuyy,,59602642,Verizon,,,,We believe that powerful #technology can solve just about anything: https://t.co/uyQIt0wmFv #PowerfulAnswers #VZPAA,,7,,478672368722669568,,,0,
350000282600100100201407241441387054203478603080281087990,1330005,,MeiyaFuyy,,59602642,Verizon,,,,Hurry up and enter @Verizon’s Powerful Answers Award – your idea has the power to change everything: http://t.co/eROOg9f6OG #VZPAA,,6,,478493442633646080,,,0,
