COLLECT_TARGET_ID,CONTACT_ACCOUNT_TYPE,ACCOUNT_ID,ACCOUNT,REGIS_NICKNAME,FRIEND_ID,FRIEND_ACCOUNT,FRIEND_NICKNAME,CONTENT,MAIL_SEND_TIME,LOCAL_ACTION,TALK_ID,DELETE_STATUS,DELETE_TIME
350000282600100100201407241441437054203478603080281087990,1030048,,16159495,Ann,,,,接受了好友请求，开始聊天吧,1402976044,02,b4f4ca0b339e4e6387e0c9f9d90eef66,0,
350000282600100100201407241441437054203478603080281087990,1030048,,40125633,很傻,,,,[偷笑][偷笑],1402976094,02,a8a60823641f4298b0e6457a9a2f7f32,0,
350000282600100100201407241441437054203478603080281087990,1030048,,40125633,很傻,,,,[露齿笑],1402976096,02,9e348e1b89fa455994447513ac8b2d1c,0,
350000282600100100201407241441437054203478603080281087990,1030048,,40125633,很傻,,,,[露齿笑],1402976097,02,160edc8672314159ba005bdb7e4b48f9,0,
350000282600100100201407241441447054203478603080281087990,1030048,,40125633,很傻,,,,傻逼,1402976136,02,f5f089af99194fb8a087852f3b564532,0,
350000282600100100201407241441447054203478603080281087990,1030048,,40125633,很傻,,,,嗨, 我刚用 iPhone 下载了WhatsApp。 这是个智慧型手机上可以用来取代传统简讯的通讯软体。这个 app 甚至能够发送照片、视频以及其他多媒体文件！ WhatsApp 在iPhone、Android、Nokia、BlackBerry 以及 Windows Phone 平台上都可以使用。不需要任何 PIN 码或使用者名称。它用起来就像一般简讯一样，只不过它是使用网​​际网路发送信息。 现在就到 https://www.whatsapp.com/download/ 下载，跟传统简讯说再见吧！,1403144376,02,b7eb76c470844c3a86b42b8676aafa53,0,
350000282600100100201407241441447054203478603080281087990,1030048,,,,,,,【微乐】——互联网又现黑马，颠覆传统，不用花一分钱，还逆向付费给用户。微乐=微信（社交、微店、微营销）+微博（粉丝、大V）+淘宝（购 物、大数据）+（看广告赚钱、）是草根一族兼职创业和厂商产品营销的绝佳机会。值得一试！点击我的链接可直接注册哦http://lwurl.to/3FNWv 官方下载www.v89.com 或各大手机软件市场下载，注册邀请号15050133896 [钞票]人人都可以赚钱的手机平台，福建一定火网络科技、一定火、一定火🔥[算下账]每天两分钟，千元每日领终生。早玩早好:5位QQ价值好几万第一批微博已成大V,年入千万。第一批淘宝商家早已月入百万。,1403527052,01,8fa391c7e8a04478b3506c7dbdcabf21,0,
350000282600100100201407241441447054203478603080281087990,1030048,,,,,,,抢先月入30万。亲，您好！今天的人们总是玩着手机，形影不离却玩不出工资更玩不出事业。手机上的商机【微乐】来袭。。打造手机自动赚钱机器， 让天下人轻轻松松赚钱！【微乐】--移动互联网到来是一场 推倒重来的商业变革“变”的是消费习惯“革”的是商业模式，看广告赚钱的手机软件。玩玩手机零投资日赚万元 微乐帮您实现！比微信功能更强大。★[算下账]微乐实行六度奖金制度，在微乐里自己看一个广告获得0.005元，六度粉丝每看一个广告您间接获得0.003元的收益（因为是广告，所以越多人看越好，获得的奖金是广告商出的广告费）例：和我一样推荐，您直接推荐10个粉丝，您的粉丝每人也直接推荐10个，以此类推至第六度:一度就是10人二度100人三度1000人四度10000人五度100000人六度100万人总计：110万人，几何倍增，最后您的团队粉丝会有111万人，如每人每天看1个广告，日收入就可达到3300元，如果是10条呢？就是3.3万了。。日1万封顶，365天=365万，何乐不为呢？人脉就是钱脉！官方下载www.v89.com或软件市场搜微乐即可下载点击我的邀请链接可直接注册 http://lwurl.to/3FRFK ★注册邀请码15050133896 无邀请码不能注册哦。8月~9月公司将在全国进行微乐品牌推广，届时将出现核裂变效应，现在立刻行动抢粉丝抢先拿月薪30万！[加油]拿起手机试一试胜过千言万语的雄辩！！★先知先觉先赚钱 后知后觉后赚钱 不知不觉不赚钱★如何看广告赚钱：打开首页点击私人定制打开图片，上面红线走到头就算看完啦。★1乐币=1元可直接提现！★注册邀请码15050133896★只要粉丝请到手，睡觉钞票都往口袋走。★微乐神一般的走起，好多粉丝既然成为了区域代理商[加油]注册好加Q445406648一步步教会赚赚赚！,1403234034,01,ed02f13924c14494ad7377cffe47b339,0,
350000282600100100201407241441447054203478603080281087990,1030048,,40125633,很傻,,,,接受了好友请求，开始聊天吧,1403168166,02,f8bc55532e4545c3907b358ae49e5616,0,
350000282600100100201407241441447054203478603080281087990,1030048,,16159495,Ann,,,,[吐舌头],1398064231,02,258306456a4d46f1854c4047e1c803fc,0,
350000282600100100201407241441447054203478603080281087990,1030048,,16159495,Ann,,,,[傻傻笑],1398064229,02,2ac8dce6033849e09b487cf79262332a,0,
350000282600100100201407241441447054203478603080281087990,1030048,,,,,,,你好,1403771220,01,a24c56dfa7bc4725a8521657f34b07c8,0,
350000282600100100201407241441447054203478603080281087990,1030048,,,,,,,来事的时候经血是不是颜色发黑发暗偶尔有血块？ 知道女人怎么预防妇科疾病的吗？如果不及时预防有可能更加严重！一般的外阴瘙痒，白带增多，阴道干涩，性冷淡，有异味，痛经都不算大病！可以通过预防避免的！不要大意，病都是忽略关心造成的！不要不好意思说，看病是大事！虽然在医院看病不过病人太痛苦了！还是在没发现之前早点预防的好！现在你是感觉不到妇科病的因为它是慢性病知道了也晚了！ 所以要提前预防！ 经血带有病菌如果有颜色深有血块说明有症状了！不要不相信，这是慢性病，尽早预防最好！～～～孙医生,1403771229,01,2d19b40f63fa4b06949ef375ad812d08,0,
350000282600100100201407241441447054203478603080281087990,1030048,,40125633,很傻,,,,接受了好友请求，开始聊天吧,1403771183,02,060d87f9727242e9bd59ecf2d376bd2a,0,
350000282600100100201407241441447054203478603080281087990,1030048,,,,,,,知不知道经血带有病菌？会有一小部分沾到阴道内壁上，时间长了就会引发妇科疾病,1403771883,01,632b67b589a3422c9328bb181ff4161b,0,
350000282600100100201407241441447054203478603080281087990,1030048,,16159495,Ann,,,,hello,1398064327,02,39b4b6a07dec47c0ab906faf63a23fc6,0,
350000282600100100201407241441447054203478603080281087990,1030048,,16159495,Ann,,,,[吐舌头],1398064252,02,c96750a52f054f039b0a755a4c2e9dc6,0,
350000282600100100201407241441447054203478603080281087990,1030048,,16159495,Ann,,,,[傻傻笑],1398064252,02,a828eddd314b459ea6e05eb020d3790d,0,
350000282600100100201407241441447054203478603080281087990,1030048,,16159495,Ann,,,,gghg,1397899056,02,a93388b521cb424b8af3a97fc8d40c67,0,
